supplier,facility,city,mill_type,capacity_000_bdu,latitude,longitude,district,district_code,region,how_established,confirmed_by_harmac
0928548 B.C. Ltd (numbered co.),,,,,,,,,,"no facility, no place name — look up by hand",
564736 B.C. Ltd (numbered co.),,,,,,,,,,"no facility, no place name — look up by hand",
Ashlaur Trading,,,,,,,,,,"no facility, no place name — look up by hand",
Nanaimo Airport Hatchery,,,,,,,,,,"no facility, no place name — look up by hand",
PRO (log purchase - full name unknown),Canadian Forest Products Ltd.,,,,54.384647,-126.718142,Nadina Natural Resource District,DND,Skeena Natural Resource Region,"mill point, matched on all distinctive words (60 candidates)",
RYK (log purchase - full name unknown),,,,,,,,,,"no facility, no place name — look up by hand",
WWK (log purchase - full name unknown),,,,,,,,,,"no facility, no place name — look up by hand",
WWW (log purchase - full name unknown),,,,,,,,,,"no facility, no place name — look up by hand",
DCT Chambers,DCT Chambers Trucking Ltd.,,,323.04,50.24587,-119.259507,Okanagan Shuswap Natural Resource District,DOS,Thompson-Okanagan Natural Resource Region,"mill point, matched on all distinctive words",
Mid Island Fibre,,,,,,,,,,ambiguous on 'ISLAND' — 2 facilities,
Sierra Pacific Industries,,,,,,,,,,ambiguous on 'PACIFIC' — 14 facilities,
Willis Enterprises Inc,,,,,,,,,,"no facility, no place name — look up by hand",
Manke Lumber Company,,,,,,,,,,"no facility, no place name — look up by hand",
Alta Forest Products,,,,,,,,,,"no facility, no place name — look up by hand",
Herman Brothers,,,,,,,,,,ambiguous on 'BROTHERS' — 5 facilities,
Weyerhaeuser,Weyerhaeuser Company Ltd.,,,,49.468056,-120.488893,Cascades Natural Resource District,DCS,Thompson-Okanagan Natural Resource Region,"mill point, matched on all distinctive words",
Green Diamond Resource Co.,,,,,,,,,,ambiguous on 'GREEN' — 2 facilities,
Interfor,Interfor Corporation,,,,49.336571,-117.737102,Selkirk Natural Resource District,DSE,Kootenay-Boundary Natural Resource Region,"mill point, matched on all distinctive words (3 candidates)",
Coastland Wood Ind.,Coastland Wood Industries Ltd.,,,,49.143963,-123.927071,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Richmond Plywood Corporation,Richmond Plywood Corporation,,,,49.198308,-123.072956,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on exact name",
Aspen Planers Ltd,Aspen Planers Ltd.,,,,50.763664,-120.807477,Thompson Rivers Natural Resource District,DKA,Thompson-Okanagan Natural Resource Region,"mill point, matched on exact name",
Kruger Inc.,Kruger Inc.,,,,50.690984,-120.403182,Thompson Rivers Natural Resource District,DKA,Thompson-Okanagan Natural Resource Region,"mill point, matched on exact name",
Gorman Group,Gorman Bros. Lumber Ltd.,,,,49.822319,-119.653855,Okanagan Shuswap Natural Resource District,DOS,Thompson-Okanagan Natural Resource Region,"mill point, matched on all distinctive words (5 candidates)",
NVCL,,,,,,,,,,"no facility, no place name — look up by hand",
Premium Cedar,Premium Cedar Products Ltd.,,,,49.17368,-122.425378,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Best Quality Cedar,Best Quality Cedar Products Ltd.,,,,49.175865,-122.424924,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Star Lumber,Star Lumber Canada Ltd.,,,,49.130636,-122.341778,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Imperial Fibre,Imperial Shake Co. Ltd.,,,,49.18849,-122.574867,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
SSD Sawmill Sales Direct Ltd,,,,,,,,,,"no facility, no place name — look up by hand",
Cape Scott,Cape Scott Cedar Products Ltd.,,,,50.712471,-127.476125,North Island - Central Coast Natural Resource District,DNI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
