Supplier,Code,Jurisdiction,Class,Tiers,Sources,Resolved,Outstanding,July BDT,Next step,Why,FPARS apps,What they already sent,Products,Routes so far
0928548 B.C. Ltd (numbered co.),0928548,British Columbia,A,P1,1,1,0,0.0,Nothing further,,,,LOG,Cut block held
564736 B.C. Ltd (numbered co.),564736,British Columbia,A,P1,1,1,0,0.0,Nothing further,,,,LOG,Cut block held
Ashlaur Trading,ASH,British Columbia,A,P1,1,1,0,0.0,Nothing further,,,,LOG,Cut block held
Nanaimo Airport Hatchery,HATCHERY,British Columbia,B,P4,1,1,0,0.0,Nothing further,,,,LOG,Parcel from private mark
PRO (log purchase - full name unknown),PRO,British Columbia,A,P1,2,2,0,0.0,Nothing further,,,,LOG,Cut block held
RYK (log purchase - full name unknown),RYK,British Columbia,A,P1,14,14,0,0.0,Nothing further,,,,LOG,Cut block held
WWK (log purchase - full name unknown),WWK,British Columbia,A,"P1, P2",9,9,0,0.0,Nothing further,,,,LOG,"Cut block held, Holder tenure held"
WWW (log purchase - full name unknown),WWW,British Columbia,"A, B","P1, P2, P5",16,16,0,0.0,Nothing further,,,,LOG,"Cut block held, Holder tenure held, Parcel from private mark"
DCT Chambers,DCT,British Columbia,C1,P5,1,0,1,8644.9,Resolve from Harmac's own log records,"Chips Harmac's own logs under contract. Those logs already carry timber marks, so the answer is in LIMS.",,,BULK,"Mill catchment, to be drawn"
Mid Island Fibre,MIDISL,British Columbia,C1,P5,2,0,2,6300.1,Resolve from Harmac's own log records,"Chips Harmac's own logs under contract. Those logs already carry timber marks, so the answer is in LIMS.",,,BULK,"Mill catchment, to be drawn"
Sierra Pacific Industries,SIERRA,Washington,C2,P5,2,0,2,9884.2,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,1222.0,,BULK,"Mill catchment, to be drawn"
Willis Enterprises Inc,WILLIS,Washington,C2,P5,1,0,1,2629.6,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,11.0,Unmarked road map of Washington State.,BULK,"Mill catchment, to be drawn"
Manke Lumber Company,MANKE,Washington,C2,P5,1,0,1,1096.9,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,620.0,Unmarked road map of Washington State.,BULK,"Mill catchment, to be drawn"
Alta Forest Products,ALTA,British Columbia,C2,P5,2,0,2,777.3,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,24.0,"Written statement: private timbermarks, Mosaic private lands, IR lands in BC. Names no district.",BULK,"Mill catchment, to be drawn"
